,saved_runs_avg,score_avg
0,-20.088775510204083,0.020109491806204763
1,-14.895198412698413,0.018928346892600877
2,-12.466609977324264,0.017641883883956995
3,-10.059897959183672,0.01648721331386823
4,-6.4373696145124715,0.015230943829823108
5,-4.965992063492063,0.013900833576837508
6,-3.20093537414966,0.012801092089143346
7,-0.7831916099773244,0.0116531397604619
8,-0.4623299319727891,0.010523609879735637
9,-0.2958843537414966,0.009858692328543866
10,-0.07151927437641727,0.009030343193303803
11,0.5749773242630385,0.008102080448189983
12,0.7427437641723357,0.007364680159712619
13,0.5202494331065759,0.006689206767261355
14,0.7024773242630385,0.006162147182629095
15,0.7897789115646259,0.005512941376048682
16,0.7904024943310658,0.0051086166165133775
17,0.7941439909297051,0.0046516625383053465
18,0.7985090702947846,0.004255345536246707
19,0.8013435374149659,0.0038867764939814987
20,0.7998979591836735,0.003515200857027052
21,0.8018537414965986,0.0032000912175622104
22,0.8016269841269842,0.002949646242644524
23,0.8002947845804987,0.002726987865952411
24,0.803611111111111,0.0025336016284511834
25,0.8033843537414966,0.002368393622123952
26,0.8028458049886621,0.002225856039743973
27,0.8053968253968253,0.002096370866914631
28,0.8057369614512471,0.0020067612147605706
29,0.8076814058956916,0.001903914092105367
