,saved_runs_avg,score_avg
0,0.05217687074829931,0.018132112322723867
1,0.0858843537414966,0.017381425409090875
2,0.13769841269841268,0.017039852123685546
3,0.20831632653061222,0.016436033191610567
4,0.24643437862950054,0.015373087777420138
5,0.31659297052154195,0.013783373823453638
6,0.3670117322291235,0.013022498417589824
7,0.410124716553288,0.010368440590075884
8,0.4576700680272109,0.00988463804805039
9,0.49251700680272104,0.008844713456962729
10,0.5453854875283447,0.009370684906879919
11,0.5884311645450259,0.008168944024895031
12,0.6187414965986395,0.006592239272301184
13,0.6585034013605442,0.006384652459680842
14,0.6794727891156462,0.005968381113476102
15,0.7126488095238095,0.005576463316086064
16,0.7292302357836339,0.00541517366134091
17,0.7401458190931876,0.004254073890555209
18,0.7573526077097505,0.00380357670557261
19,0.7830328798185942,0.0037706597845266103
20,0.7788865546218485,0.0031305404545004566
21,0.7945570054945055,0.0029551465442406197
22,0.8039115646258502,0.0026696902984802307
23,0.827749433106576,0.0024789959071664577
24,0.8262244897959184,0.002576656650636905
25,0.830294784580499,0.0025326054684578943
26,0.8389002267573695,0.002256658972516103
27,0.8399376417233559,0.001989390080079958
28,0.8339115646258504,0.0018771979534315752
29,0.8395691609977324,0.001927395100080362
