,saved_runs_avg,score_avg
0,0.03979591836734693,0.01888972664893314
1,0.09520975056689342,0.018796003794857668
2,0.1409183673469388,0.016781242325338643
3,0.20089002267573697,0.015743764660004225
4,0.23951247165532877,0.013252688846735415
5,0.31832766439909305,0.014202069697238954
6,0.3625283446712018,0.012962200782448169
7,0.4079081632653061,0.010346675933381858
8,0.4555612244897959,0.01014723292675464
9,0.509030612244898,0.010197625009036536
10,0.5388775510204081,0.00884599983961605
11,0.5817290249433106,0.008582541269015044
12,0.6090532879818593,0.007679108688415376
13,0.6388718820861679,0.006016555801929642
14,0.6737244897959184,0.0060096438384421805
15,0.7126757369614513,0.005594940052712199
16,0.7315819597069596,0.005078009318324652
17,0.7354818594104306,0.0042193604018545775
18,0.7697967479674795,0.004412199507579851
19,0.7822229853479854,0.003943869157351046
20,0.7939058956916099,0.003473952729280768
21,0.7979038505354294,0.002892191348424567
22,0.8190362269309637,0.0028694192564538315
23,0.8191439909297051,0.002572606539533023
24,0.8289965986394559,0.0022124674053677633
25,0.8259920634920634,0.0022310816286305207
26,0.817128987517337,0.0020465816543494505
27,0.8444727891156463,0.0021016692946739792
28,0.839514652014652,0.0017932851847425875
29,0.8444919115971747,0.0018895305011520159
